"Bron/techniek";"Energietoepassingen";"Perioden";"Vermeden verbruik van fossiele energie/Vermeden verbruik (TJ)";"Vermeden emissie van kooldioxide (CO2)/Vermeden emissie (kton)"
"Totaal energiebronnen";"Totaal energietoepassingen";"2010";"  133191";"    9310"
"Totaal energiebronnen";"Totaal energietoepassingen";"2011";"  140106";"    9733"
"Totaal energiebronnen";"Totaal energietoepassingen";"2012";"  148316";"   10543"
"Totaal energiebronnen";"Totaal energietoepassingen";"2013";"  144697";"   10207"
"Totaal energiebronnen";"Totaal energietoepassingen";"2014";"  150280";"   10357"
"Totaal energiebronnen";"Totaal energietoepassingen";"2015";"  166920";"   11802"
"Totaal energiebronnen";"Totaal energietoepassingen";"2016";"  180367";"   12513"
"Totaal energiebronnen";"Totaal energietoepassingen";"2017";"  197281";"   13534"
"Totaal energiebronnen";"Totaal energietoepassingen";"2018";"  218590";"   14743"
"Totaal energiebronnen";"Totaal energietoepassingen";"2019";"  255419";"   16581"
"Totaal energiebronnen";"Totaal energietoepassingen";"2020";"  331791";"   20713"
"Totaal energiebronnen";"Totaal energietoepassingen";"2021";"  415276";"   27938"
"Totaal energiebronnen";"Totaal energietoepassingen";"2022";"  465263";"   30763"
"Totaal energiebronnen";"Totaal energietoepassingen";"2023";"  525521";"   32145"
"Totaal energiebronnen";"Totaal energietoepassingen";"2024**";"  591177";"   35944"
"Waterkracht";"Totaal energietoepassingen";"2010";"     861";"      58"
"Waterkracht";"Totaal energietoepassingen";"2011";"     826";"      56"
"Waterkracht";"Totaal energietoepassingen";"2012";"     863";"      61"
"Waterkracht";"Totaal energietoepassingen";"2013";"     854";"      63"
"Waterkracht";"Totaal energietoepassingen";"2014";"     885";"      65"
"Waterkracht";"Totaal energietoepassingen";"2015";"     858";"      67"
"Waterkracht";"Totaal energietoepassingen";"2016";"     821";"      61"
"Waterkracht";"Totaal energietoepassingen";"2017";"     761";"      56"
"Waterkracht";"Totaal energietoepassingen";"2018";"     748";"      53"
"Waterkracht";"Totaal energietoepassingen";"2019";"     713";"      46"
"Waterkracht";"Totaal energietoepassingen";"2020";"     676";"      38"
"Waterkracht";"Totaal energietoepassingen";"2021";"     721";"      46"
"Waterkracht";"Totaal energietoepassingen";"2022";"     705";"      45"
"Waterkracht";"Totaal energietoepassingen";"2023";"     681";"      40"
"Waterkracht";"Totaal energietoepassingen";"2024**";"     659";"      38"
"Totaal windenergie";"Totaal energietoepassingen";"2010";"   38320";"    2583"
"Totaal windenergie";"Totaal energietoepassingen";"2011";"   39367";"    2653"
"Totaal windenergie";"Totaal energietoepassingen";"2012";"   42378";"    3013"
"Totaal windenergie";"Totaal energietoepassingen";"2013";"   45298";"    3334"
"Totaal windenergie";"Totaal energietoepassingen";"2014";"   50020";"    3676"
"Totaal windenergie";"Totaal energietoepassingen";"2015";"   60218";"    4691"
"Totaal windenergie";"Totaal energietoepassingen";"2016";"   73216";"    5462"
"Totaal windenergie";"Totaal energietoepassingen";"2017";"   82374";"    6022"
"Totaal windenergie";"Totaal energietoepassingen";"2018";"   82553";"    5836"
"Totaal windenergie";"Totaal energietoepassingen";"2019";"   84017";"    5377"
"Totaal windenergie";"Totaal energietoepassingen";"2020";"  108777";"    6168"
"Totaal windenergie";"Totaal energietoepassingen";"2021";"  151313";"    9562"
"Totaal windenergie";"Totaal energietoepassingen";"2022";"  174330";"   11045"
"Totaal windenergie";"Totaal energietoepassingen";"2023";"  217804";"   12656"
"Totaal windenergie";"Totaal energietoepassingen";"2024**";"  254219";"   14626"
"Windenergie op land";"Totaal energietoepassingen";"2010";"   31808";"    2144"
"Windenergie op land";"Totaal energietoepassingen";"2011";"   33180";"    2236"
"Windenergie op land";"Totaal energietoepassingen";"2012";"   35847";"    2549"
"Windenergie op land";"Totaal energietoepassingen";"2013";"   38887";"    2862"
"Windenergie op land";"Totaal energietoepassingen";"2014";"   43446";"    3193"
"Windenergie op land";"Totaal energietoepassingen";"2015";"   51264";"    3993"
"Windenergie op land";"Totaal energietoepassingen";"2016";"   53907";"    4021"
"Windenergie op land";"Totaal energietoepassingen";"2017";"   54196";"    3962"
"Windenergie op land";"Totaal energietoepassingen";"2018";"   54381";"    3845"
"Windenergie op land";"Totaal energietoepassingen";"2019";"   56519";"    3617"
"Windenergie op land";"Totaal energietoepassingen";"2020";"   63132";"    3580"
"Windenergie op land";"Totaal energietoepassingen";"2021";"   83263";"    5262"
"Windenergie op land";"Totaal energietoepassingen";"2022";"  105530";"    6686"
